path,component,tier,category,required_tier,hook_name,backend_endpoint,data_source_color,notes
/accounts,Accounts,authenticated,authenticated,standard,useAccounts,GET l4,green,Live integration via useAccounts
/accounts/:id,Accounts,authenticated,authenticated,standard,useAccounts,GET l4,green,Live integration via useAccounts
/command-center,CommandCenter,authenticated,authenticated,standard,UNKNOWN,,red,No hooks mapped - likely hardcoded or incomplete
/context/agents,AgentWorkflows,authenticated,authenticated,advanced,useWorkflows,N/A,unknown,No backend integration found; Advanced tier route
/context/extraction,ExtractionEngine,authenticated,authenticated,advanced,useExtraction,POST /v1/extract,green,Live integration via useExtraction; Advanced tier route
/context/formulas,FormulaList,authenticated,authenticated,advanced,useFormulas,GET l3,green,Live integration via useFormulas; Advanced tier route
/context/formulas/:formulaId,FormulaBuilder,authenticated,authenticated,advanced,useFormula,N/A,unknown,No backend integration found; Advanced tier route
/context/formulas/new,FormulaBuilder,authenticated,authenticated,advanced,useFormula,N/A,unknown,No backend integration found; Advanced tier route
/context/ingestion/jobs,IngestionJobs,authenticated,authenticated,advanced,useIngestion,N/A,unknown,No backend integration found; Advanced tier route
/context/integrations,Integrations,authenticated,authenticated,advanced,useIntegrations,GET l4,green,Live integration via useIntegrations; Advanced tier route
/context/models,MyModels,authenticated,authenticated,standard,useModels,GET l3,green,Live integration via useModels
/context/ontology,OntologyEditor,authenticated,authenticated,advanced,useOntology,N/A,unknown,No backend integration found; Advanced tier route
/context/ontology/entities,EntityBrowser,authenticated,authenticated,advanced,useEntities,GET l3,green,Live integration via useEntities; Advanced tier route
/context/ontology/entities/:entityId,EntityDetail,authenticated,authenticated,advanced,UNKNOWN,,red,No hooks mapped - likely hardcoded or incomplete
/context/ontology/graph,GraphExplorer,authenticated,authenticated,advanced,useGraphQuery,GET l3,green,Live integration via useGraphQuery; Advanced tier route
/context/packs,ValuePacks,authenticated,authenticated,standard,useValuePacks,GET l3,green,Live integration via useValuePacks
/context/sources,SourceConfiguration,authenticated,authenticated,advanced,useSources,DELETE l1,red,Hardcoded/mock data in useSources; Advanced tier route
/context/value-trees/explorer,ValueTreeExplorer,authenticated,authenticated,advanced,useValueTrees,N/A,unknown,No backend integration found; Advanced tier route
/deliverables/api,Integrations,authenticated,authenticated,admin,useIntegrations,GET l4,green,Live integration via useIntegrations; Admin tier route
/deliverables/calculators,InteractiveBusinessCase,authenticated,authenticated,advanced,UNKNOWN,,red,No hooks mapped - likely hardcoded or incomplete
/deliverables/cases,BusinessCaseList,authenticated,authenticated,admin,useBusinessCases,N/A,unknown,No backend integration found; Admin tier route
/deliverables/cases/:caseId,BusinessCase,authenticated,authenticated,standard,useBusinessCases,N/A,unknown,No backend integration found
/deliverables/views/cfo,CFOView,authenticated,authenticated,advanced,UNKNOWN,,red,No hooks mapped - likely hardcoded or incomplete
